日経平均,,,,,TOPIX,,,,CPI,東京市場　ドル・円　スポット　17時時点/月末,貸出約定平均金利（月次）,企業物価指数（月次）
日付,始値,高値,安値,終値,始値,高値,安値,終値,指数（2020年＝100）,1ドルにつき円,新規/総合/国内銀行,[国内企業物価指数] 総平均（前年比）
2016年5月,"16,357.10","17,251.36","15,975.47","17,234.98","1,316.57","1,380.88","1,289.01","1,379.80",98.2 ,111.14,0.747,-4.6
2016年4月,"16,719.56","17,613.56","15,471.80","16,666.05","1,343.24","1,412.98","1,250.77","1,340.55",98.2 ,108.4,0.69,-4.4
2016年3月,"16,013.00","17,291.35","15,857.37","16,758.67","1,295.16","1,384.35","1,284.50","1,347.20",97.9 ,112.43,0.793,-4
2016年2月,"17,699.60","17,905.37","14,865.77","16,026.76","1,448.04","1,463.79","1,193.85","1,297.85",97.8 ,112.99,0.806,-3.7
2016年1月,"18,818.58","18,951.12","16,017.26","17,518.30","1,532.53","1,544.73","1,301.49","1,432.07",97.8 ,120.63,0.927,-3.4
2015年12月,"19,799.08","20,012.40","18,562.51","19,033.71","1,585.52","1,607.27","1,502.55","1,547.30",98.1 ,120.42,0.924,-3.6
2015年11月,"18,827.11","19,994.05","18,641.22","19,747.47","1,539.44","1,609.76","1,523.34","1,580.25",98.2 ,122.83,0.817,-3.7
2015年10月,"17,479.97","19,202.34","17,389.57","19,083.10","1,422.36","1,570.06","1,414.20","1,558.20",98.6 ,120.74,0.869,-3.8
2015年9月,"18,763.72","18,777.47","16,901.49","17,388.15","1,526.67","1,528.57","1,371.44","1,411.16",98.6 ,120.03,0.804,-4
2015年8月,"20,540.21","20,946.93","17,714.30","18,890.48","1,659.68","1,702.83","1,410.94","1,537.05",98.5 ,121.19,0.915,-3.8
2015年7月,"20,291.05","20,850.00","19,115.20","20,585.24","1,635.06","1,674.27","1,526.09","1,659.52",98.3 ,124.22,0.929,-3.2
2015年6月,"20,444.54","20,952.71","19,990.55","20,235.73","1,662.55","1,686.61","1,616.66","1,630.40",98.4 ,122.25,0.801,-2.4
2015年5月,"19,510.85","20,655.33","19,257.85","20,563.15","1,587.07","1,680.39","1,571.43","1,673.65",98.7 ,123.75,0.863,-2.2
2015年4月,"19,129.75","20,252.12","18,927.95","19,520.01","1,536.70","1,633.81","1,519.41","1,592.79",98.4 ,118.91,0.862,-2.1
2015年3月,"18,869.40","19,778.60","18,577.06","19,206.99","1,528.77","1,594.71","1,504.45","1,543.11",97.9 ,120.21,0.805,0.7
2015年2月,"17,536.61","18,865.39","17,271.87","18,797.94","1,402.52","1,529.20","1,387.38","1,523.85",97.5 ,119.29,0.917,0.4
2015年1月,"17,325.68","17,850.59","16,592.57","17,674.39","1,400.87","1,433.35","1,343.29","1,415.07",97.7 ,117.9,0.936,0.3
2014年12月,"17,475.10","18,030.83","16,672.94","17,450.77","1,413.60","1,454.22","1,346.37","1,407.51",97.9 ,119.8,0.932,1.8
2014年11月,"16,732.85","17,520.54","16,713.37","17,459.85","1,358.97","1,413.27","1,353.42","1,410.34",97.8 ,118.22,0.887,2.6
2014年10月,"16,173.39","16,533.91","14,529.03","16,413.76","1,325.55","1,338.35","1,177.22","1,333.64",98.2 ,111.23,0.951,2.8
2014年9月,"15,454.59","16,374.14","15,440.99","16,173.52","1,280.54","1,346.43","1,279.52","1,326.29",98.4 ,109.42,0.808,3.6
2014年8月,"15,511.54","15,628.78","14,753.84","15,424.59","1,279.09","1,296.02","1,224.85","1,277.97",98.2 ,103.83,0.997,4
2014年7月,"15,179.64","15,759.66","15,101.49","15,620.77","1,265.32","1,300.53","1,247.66","1,289.42",98.0 ,102.87,0.99,4.4
2014年6月,"14,777.51","15,442.67","14,777.51","15,162.10","1,210.82","1,273.80","1,210.82","1,262.56",98.0 ,101.39,0.82,4.5
2014年5月,"14,341.09","14,744.16","13,964.43","14,632.38","1,167.25","1,205.60","1,143.63","1,201.41",98.1 ,101.64,1.062,4.4
2014年4月,"14,870.51","15,164.39","13,885.11","14,304.11","1,207.63","1,223.26","1,121.50","1,162.44",97.7 ,102.51,0.905,4.2
2014年3月,"14,666.93","15,312.60","14,203.21","14,827.83","1,197.77","1,241.88","1,145.90","1,202.89",95.5 ,102.98,0.872,1.7
2014年2月,"14,788.56","15,094.54","13,995.86","14,841.07","1,212.97","1,234.54","1,139.27","1,211.66",95.2 ,101.66,1.031,1.8
2014年1月,"16,147.54","16,164.01","14,764.57","14,914.53","1,297.79","1,308.08","1,211.22","1,220.64",95.2 ,102.49,0.973,2.5
2013年12月,"15,659.74","16,320.22","15,112.54","16,291.31","1,260.97","1,302.87","1,222.20","1,302.29",95.3 ,105.37,0.927,2.5
2013年11月,"14,403.07","15,729.09","14,026.17","15,661.87","1,199.68","1,261.04","1,171.20","1,258.66",95.3 ,102.24,1.11,2.6
2013年10月,"14,517.98","14,799.28","13,748.94","14,327.94","1,198.18","1,222.56","1,138.75","1,194.26",95.3 ,98.34,1.021,2.5
2013年9月,"13,438.07","14,817.50","13,407.53","14,455.80","1,109.41","1,223.12","1,107.90","1,194.10",95.2 ,97.89,0.911,2.3
2013年8月,"13,674.50","14,466.16","13,188.14","13,388.86","1,134.84","1,196.17","1,103.94","1,106.05",94.9 ,98.06,1.089,2.3
2013年7月,"13,746.72","14,953.29","13,562.70","13,668.32","1,143.96","1,232.02","1,127.01","1,131.70",94.6 ,97.85,0.95,2.1
2013年6月,"13,551.36","13,724.44","12,415.85","13,677.32","1,122.10","1,139.76","1,033.02","1,133.84",94.4 ,98.83,0.956,1.2
2013年5月,"13,837.72","15,942.60","13,555.66","13,774.54","1,164.31","1,289.77","1,129.07","1,135.78",94.3 ,100.63,1.158,0.6
2013年4月,"12,371.34","13,983.87","11,805.78","13,860.86","1,031.75","1,176.36",971.33,"1,165.13",94.2 ,97.83,0.962,0.1
2013年3月,"11,464.71","12,650.26","11,464.71","12,397.91",971.99,"1,061.75",971.22,"1,034.71",93.9 ,94.04,0.909,-0.5
2013年2月,"11,193.72","11,662.52","11,046.92","11,559.36",945.54,981.8,930.04,975.66,93.8 ,92.36,1.111,-0.1
2013年1月,"10,604.50","11,145.38","10,398.61","11,138.66",876.97,942.08,862.62,940.25,94.0 ,90.92,1.119,-0.4
2012年12月,"9,484.20","10,433.63","9,376.97","10,395.18",785.48,861.57,776.83,859.8,93.9 ,86.32,1,-0.7
2012年11月,"8,931.71","9,492.91","8,619.45","9,446.01",743.02,787.74,718.36,781.46,93.9 ,82.63,1.146,-1.1
2012年10月,"8,815.07","9,075.59","8,488.14","8,928.29",732.78,757.59,710.32,742.33,94.3 ,79.73,1.047,-1.1
2012年9月,"8,836.61","9,288.53","8,646.03","8,870.16",731.87,769.54,715.05,737.42,94.2 ,77.58,1.04,-1.5
2012年8月,"8,622.04","9,222.87","8,513.20","8,839.91",731.11,769.79,720.03,731.64,94.1 ,78.46,1.186,-2
2012年7月,"9,103.79","9,136.02","8,328.02","8,695.06",778.66,781.94,703.31,736.31,94.0 ,78.28,1.099,-2.2
2012年6月,"8,465.47","9,044.04","8,238.96","9,006.78",712.18,773.21,692.18,770.08,94.3 ,79.61,1.011,-1.5
